benchmark,variant,family,audit_models,owners,discovery_audit_models,validation_audit_models,representatives,discovery_representatives,validation_representatives
BBH,owner_cap_1,qwen,110,110,55,55,110,55,55
BBH,owner_cap_3,gemma,106,58,53,53,58,30,28
BBH,owner_cap_3,llama,412,217,206,206,217,107,110
BBH,owner_cap_3,mistral,103,65,51,52,65,32,33
BBH,owner_cap_3,phi,67,47,33,34,47,22,25
BBH,owner_cap_3,qwen,194,110,97,97,110,56,54
BBH,owner_cap_5_baseline,gemma,126,58,63,63,58,32,26
BBH,owner_cap_5_baseline,llama,512,217,256,256,217,110,107
BBH,owner_cap_5_baseline,mistral,116,65,58,58,65,32,33
BBH,owner_cap_5_baseline,phi,75,47,37,38,47,27,20
BBH,owner_cap_5_baseline,qwen,242,110,121,121,110,59,51
BBH,lexicographic_checkpoint,gemma,58,58,32,26,58,32,26
BBH,lexicographic_checkpoint,llama,217,217,110,107,217,110,107
BBH,lexicographic_checkpoint,mistral,65,65,32,33,65,32,33
BBH,lexicographic_checkpoint,phi,47,47,27,20,47,27,20
BBH,lexicographic_checkpoint,qwen,110,110,59,51,110,59,51
BBH,strict_lineage,gemma,100,48,50,50,48,24,24
BBH,strict_lineage,llama,443,196,221,222,196,99,97
BBH,strict_lineage,mistral,102,56,51,51,56,27,29
BBH,strict_lineage,phi,60,38,30,30,38,17,21
BBH,strict_lineage,qwen,196,92,98,98,92,44,48
BBH,omit_gemma,llama,512,217,256,256,217,109,108
BBH,omit_gemma,mistral,116,65,58,58,65,31,34
BBH,omit_gemma,phi,75,47,37,38,47,27,20
BBH,omit_gemma,qwen,242,110,121,121,110,54,56
BBH,omit_llama,gemma,126,58,63,63,58,30,28
BBH,omit_llama,mistral,116,65,58,58,65,31,34
BBH,omit_llama,phi,75,47,38,37,47,22,25
BBH,omit_llama,qwen,242,110,121,121,110,52,58
BBH,omit_mistral,gemma,126,58,63,63,58,27,31
BBH,omit_mistral,llama,512,217,256,256,217,108,109
BBH,omit_mistral,phi,75,47,38,37,47,24,23
BBH,omit_mistral,qwen,242,110,121,121,110,57,53
BBH,omit_phi,gemma,126,58,63,63,58,29,29
BBH,omit_phi,llama,512,217,256,256,217,111,106
BBH,omit_phi,mistral,116,65,58,58,65,34,31
BBH,omit_phi,qwen,242,110,121,121,110,56,54
BBH,omit_qwen,gemma,126,58,63,63,58,29,29
BBH,omit_qwen,llama,512,217,256,256,217,107,110
BBH,omit_qwen,mistral,116,65,58,58,65,29,36
BBH,omit_qwen,phi,75,47,37,38,47,21,26
MMLU,owner_cap_1,gemma,45,45,23,22,45,23,22
MMLU,owner_cap_1,llama,321,321,161,160,321,161,160
MMLU,owner_cap_1,mistral,245,245,122,123,245,122,123
MMLU,owner_cap_1,phi,34,34,17,17,34,17,17
MMLU,owner_cap_1,qwen,28,28,14,14,28,14,14
MMLU,owner_cap_3,gemma,71,45,36,35,45,24,21
MMLU,owner_cap_3,llama,566,321,283,283,321,158,163
MMLU,owner_cap_3,mistral,445,245,222,223,245,121,124
MMLU,owner_cap_3,phi,61,34,31,30,34,17,17
MMLU,owner_cap_3,qwen,50,28,25,25,28,14,14
MMLU,owner_cap_5_baseline,gemma,78,45,39,39,45,22,23
MMLU,owner_cap_5_baseline,llama,662,321,331,331,321,160,161
MMLU,owner_cap_5_baseline,mistral,522,245,261,261,245,122,123
MMLU,owner_cap_5_baseline,phi,71,34,35,36,34,16,18
MMLU,owner_cap_5_baseline,qwen,55,28,27,28,28,15,13
MMLU,lexicographic_checkpoint,gemma,45,45,22,23,45,22,23
MMLU,lexicographic_checkpoint,llama,321,321,160,161,321,160,161
MMLU,lexicographic_checkpoint,mistral,245,245,122,123,245,122,123
MMLU,lexicographic_checkpoint,phi,34,34,16,18,34,16,18
MMLU,lexicographic_checkpoint,qwen,28,28,15,13,28,15,13
MMLU,strict_lineage,gemma,64,38,32,32,38,18,20
MMLU,strict_lineage,llama,545,274,272,273,274,135,139
MMLU,strict_lineage,mistral,399,212,200,199,212,106,106
MMLU,strict_lineage,phi,55,25,28,27,25,13,12
MMLU,strict_lineage,qwen,47,24,23,24,24,12,12
MMLU,omit_gemma,llama,662,321,331,331,321,157,164
MMLU,omit_gemma,mistral,522,245,261,261,245,119,126
MMLU,omit_gemma,phi,71,34,35,36,34,16,18
MMLU,omit_gemma,qwen,55,28,27,28,28,14,14
MMLU,omit_llama,gemma,78,45,39,39,45,23,22
MMLU,omit_llama,mistral,522,245,261,261,245,123,122
MMLU,omit_llama,phi,71,34,35,36,34,15,19
MMLU,omit_llama,qwen,55,28,28,27,28,15,13
MMLU,omit_mistral,gemma,78,45,39,39,45,22,23
MMLU,omit_mistral,llama,662,321,331,331,321,158,163
MMLU,omit_mistral,phi,71,34,36,35,34,17,17
MMLU,omit_mistral,qwen,55,28,28,27,28,11,17
MMLU,omit_phi,gemma,78,45,39,39,45,22,23
MMLU,omit_phi,llama,662,321,331,331,321,164,157
MMLU,omit_phi,mistral,522,245,261,261,245,123,122
MMLU,omit_phi,qwen,55,28,28,27,28,15,13
MMLU,omit_qwen,gemma,78,45,39,39,45,22,23
MMLU,omit_qwen,llama,662,321,331,331,321,161,160
MMLU,omit_qwen,mistral,522,245,261,261,245,120,125
MMLU,omit_qwen,phi,71,34,35,36,34,16,18
HellaSwag,owner_cap_1,gemma,45,45,22,23,45,22,23
HellaSwag,owner_cap_1,llama,321,321,161,160,321,161,160
HellaSwag,owner_cap_1,mistral,245,245,122,123,245,122,123
HellaSwag,owner_cap_1,phi,34,34,17,17,34,17,17
HellaSwag,owner_cap_1,qwen,28,28,14,14,28,14,14
HellaSwag,owner_cap_3,gemma,71,45,36,35,45,22,23
HellaSwag,owner_cap_3,llama,566,321,283,283,321,161,160
HellaSwag,owner_cap_3,mistral,445,245,223,222,245,126,119
HellaSwag,owner_cap_3,phi,61,34,31,30,34,17,17
HellaSwag,owner_cap_3,qwen,50,28,25,25,28,13,15
HellaSwag,owner_cap_5_baseline,gemma,78,45,39,39,45,21,24
HellaSwag,owner_cap_5_baseline,llama,662,321,331,331,321,161,160
HellaSwag,owner_cap_5_baseline,mistral,522,245,261,261,245,124,121
HellaSwag,owner_cap_5_baseline,phi,71,34,35,36,34,18,16
HellaSwag,owner_cap_5_baseline,qwen,55,28,28,27,28,15,13
HellaSwag,lexicographic_checkpoint,gemma,45,45,21,24,45,21,24
HellaSwag,lexicographic_checkpoint,llama,321,321,161,160,321,161,160
HellaSwag,lexicographic_checkpoint,mistral,245,245,124,121,245,124,121
HellaSwag,lexicographic_checkpoint,phi,34,34,18,16,34,18,16
HellaSwag,lexicographic_checkpoint,qwen,28,28,15,13,28,15,13
HellaSwag,strict_lineage,gemma,64,38,32,32,38,20,18
HellaSwag,strict_lineage,llama,545,274,272,273,274,137,137
HellaSwag,strict_lineage,mistral,399,212,200,199,212,107,105
HellaSwag,strict_lineage,phi,55,25,27,28,25,13,12
HellaSwag,strict_lineage,qwen,47,24,23,24,24,12,12
HellaSwag,omit_gemma,llama,662,321,331,331,321,160,161
HellaSwag,omit_gemma,mistral,522,245,261,261,245,125,120
HellaSwag,omit_gemma,phi,71,34,35,36,34,16,18
HellaSwag,omit_gemma,qwen,55,28,27,28,28,14,14
HellaSwag,omit_llama,gemma,78,45,39,39,45,23,22
HellaSwag,omit_llama,mistral,522,245,261,261,245,122,123
HellaSwag,omit_llama,phi,71,34,35,36,34,15,19
HellaSwag,omit_llama,qwen,55,28,28,27,28,15,13
HellaSwag,omit_mistral,gemma,78,45,39,39,45,23,22
HellaSwag,omit_mistral,llama,662,321,331,331,321,159,162
HellaSwag,omit_mistral,phi,71,34,35,36,34,17,17
HellaSwag,omit_mistral,qwen,55,28,27,28,28,10,18
HellaSwag,omit_phi,gemma,78,45,39,39,45,22,23
HellaSwag,omit_phi,llama,662,321,331,331,321,160,161
HellaSwag,omit_phi,mistral,522,245,261,261,245,121,124
HellaSwag,omit_phi,qwen,55,28,27,28,28,12,16
HellaSwag,omit_qwen,gemma,78,45,39,39,45,24,21
HellaSwag,omit_qwen,llama,662,321,331,331,321,164,157
HellaSwag,omit_qwen,mistral,522,245,261,261,245,126,119
HellaSwag,omit_qwen,phi,71,34,36,35,34,17,17
WinoGrande,owner_cap_1,gemma,45,45,22,23,45,22,23
WinoGrande,owner_cap_1,llama,321,321,160,161,321,160,161
WinoGrande,owner_cap_1,mistral,245,245,123,122,245,123,122
WinoGrande,owner_cap_1,phi,34,34,17,17,34,17,17
WinoGrande,owner_cap_1,qwen,28,28,14,14,28,14,14
WinoGrande,owner_cap_3,gemma,71,45,35,36,45,22,23
WinoGrande,owner_cap_3,llama,566,321,283,283,321,160,161
WinoGrande,owner_cap_3,mistral,445,245,222,223,245,119,126
WinoGrande,owner_cap_3,phi,61,34,30,31,34,15,19
WinoGrande,owner_cap_3,qwen,50,28,25,25,28,14,14
WinoGrande,owner_cap_5_baseline,gemma,78,45,39,39,45,22,23
WinoGrande,owner_cap_5_baseline,llama,662,321,331,331,321,161,160
WinoGrande,owner_cap_5_baseline,mistral,522,245,261,261,245,123,122
WinoGrande,owner_cap_5_baseline,phi,71,34,36,35,34,18,16
WinoGrande,owner_cap_5_baseline,qwen,55,28,27,28,28,14,14
WinoGrande,lexicographic_checkpoint,gemma,45,45,22,23,45,22,23
WinoGrande,lexicographic_checkpoint,llama,321,321,161,160,321,161,160
WinoGrande,lexicographic_checkpoint,mistral,245,245,123,122,245,123,122
WinoGrande,lexicographic_checkpoint,phi,34,34,18,16,34,18,16
WinoGrande,lexicographic_checkpoint,qwen,28,28,14,14,28,14,14
WinoGrande,strict_lineage,gemma,64,38,32,32,38,20,18
WinoGrande,strict_lineage,llama,545,274,273,272,274,136,138
WinoGrande,strict_lineage,mistral,399,212,199,200,212,107,105
WinoGrande,strict_lineage,phi,55,25,27,28,25,13,12
WinoGrande,strict_lineage,qwen,47,24,23,24,24,13,11
WinoGrande,omit_gemma,llama,662,321,331,331,321,159,162
WinoGrande,omit_gemma,mistral,522,245,261,261,245,125,120
WinoGrande,omit_gemma,phi,71,34,35,36,34,16,18
WinoGrande,omit_gemma,qwen,55,28,27,28,28,14,14
WinoGrande,omit_llama,gemma,78,45,39,39,45,22,23
WinoGrande,omit_llama,mistral,522,245,261,261,245,122,123
WinoGrande,omit_llama,phi,71,34,35,36,34,15,19
WinoGrande,omit_llama,qwen,55,28,28,27,28,15,13
WinoGrande,omit_mistral,gemma,78,45,39,39,45,22,23
WinoGrande,omit_mistral,llama,662,321,331,331,321,160,161
WinoGrande,omit_mistral,phi,71,34,36,35,34,17,17
WinoGrande,omit_mistral,qwen,55,28,28,27,28,15,13
WinoGrande,omit_phi,gemma,78,45,39,39,45,23,22
WinoGrande,omit_phi,llama,662,321,331,331,321,160,161
WinoGrande,omit_phi,mistral,522,245,261,261,245,122,123
WinoGrande,omit_phi,qwen,55,28,27,28,28,12,16
WinoGrande,omit_qwen,gemma,78,45,39,39,45,23,22
WinoGrande,omit_qwen,llama,662,321,331,331,321,159,162
WinoGrande,omit_qwen,mistral,522,245,261,261,245,120,125
WinoGrande,omit_qwen,phi,71,34,35,36,34,16,18
