annotator,model,blinded_id,benchmark,pair_id,group,common_blueprint_cell,discovery_advantaged_family,validation_advantaged_family,quantitative_symbolic,formal_rule_reasoning,factual_domain_knowledge,contextual_reading,commonsense_narrative,spatial_temporal,linguistic_wordplay,negation_exception,code_structured_representation,distractor_discrimination,reasoning_steps,context_burden,ambiguity_degree
annotator_a,gpt-5.5,record_0040,MMLU,pair_0038,stable_high_dif,cell_0028,mistral,mistral,0,1,1,1,0,0,0,0,0,1,2,2,0
annotator_a,gpt-5.5,record_0041,MMLU-Pro,pair_0039,stable_high_dif,cell_0029,phi,gemma,0,0,1,0,0,0,0,0,0,1,0,0,1
annotator_a,gpt-5.5,record_0042,MMLU,pair_0040,stable_high_dif,cell_0030,mistral,mistral,0,1,1,1,0,1,0,0,0,1,2,2,0
annotator_a,gpt-5.5,record_0043,MMLU,pair_0001,stable_high_dif,cell_0001,phi,phi,0,0,1,0,0,0,0,0,0,1,0,0,0
annotator_a,gpt-5.5,record_0044,BBH,pair_0041,stable_high_dif,cell_0031,phi,phi,0,0,1,1,0,0,0,0,0,1,1,1,1
annotator_a,gpt-5.5,record_0045,MMLU-Pro,pair_0042,matched_control,cell_0032,gemma,qwen,1,1,0,1,0,1,0,0,0,1,3,2,0
annotator_a,gpt-5.5,record_0046,BBH,pair_0043,stable_high_dif,cell_0033,phi,phi,0,1,0,1,0,1,0,0,0,0,2,1,0
annotator_a,gpt-5.5,record_0047,BBH,pair_0018,matched_control,cell_0016,llama,phi,0,0,1,0,1,0,0,0,0,0,1,0,1
annotator_a,gpt-5.5,record_0048,BBH,pair_0044,stable_high_dif,cell_0008,qwen,phi,0,1,0,1,0,0,0,1,0,0,3,2,0
annotator_a,gpt-5.5,record_0049,BBH,pair_0045,stable_high_dif,cell_0034,qwen,qwen,0,0,1,0,1,0,0,0,0,0,1,1,1
annotator_a,gpt-5.5,record_0050,BBH,pair_0044,matched_control,cell_0008,qwen,gemma,0,1,0,1,0,0,0,1,0,0,3,2,0
annotator_a,gpt-5.5,record_0051,MMLU,pair_0046,stable_high_dif,cell_0030,llama,llama,0,0,1,1,0,1,0,0,1,1,2,3,0
annotator_a,gpt-5.5,record_0052,WinoGrande,pair_0047,matched_control,cell_0035,gemma,gemma,0,0,0,1,1,1,0,0,0,1,1,1,0
annotator_a,gpt-5.5,record_0053,BBH,pair_0048,matched_control,cell_0036,phi,phi,0,1,0,1,0,1,0,0,1,1,2,1,0
annotator_a,gpt-5.5,record_0054,MMLU,pair_0049,stable_high_dif,cell_0037,mistral,qwen,0,0,0,1,1,0,0,0,0,0,1,1,1
annotator_a,gpt-5.5,record_0055,BBH,pair_0050,matched_control,cell_0038,mistral,mistral,0,1,0,1,0,0,0,0,0,0,3,2,0
annotator_a,gpt-5.5,record_0056,MMLU-Pro,pair_0051,matched_control,cell_0039,qwen,mistral,1,1,1,1,0,1,0,0,0,1,3,3,1
annotator_a,gpt-5.5,record_0057,MMLU,pair_0052,stable_high_dif,cell_0040,llama,llama,0,0,1,1,0,0,0,0,0,1,1,1,1
annotator_a,gpt-5.5,record_0058,WinoGrande,pair_0053,stable_high_dif,cell_0027,phi,llama,0,0,0,1,1,0,0,0,0,1,1,1,0
annotator_a,gpt-5.5,record_0059,HellaSwag,pair_0054,matched_control,cell_0019,qwen,qwen,0,0,0,1,1,1,0,0,1,1,1,1,1
annotator_a,gpt-5.5,record_0060,MMLU-Pro,pair_0055,matched_control,cell_0041,qwen,qwen,0,0,1,1,0,0,0,0,0,1,1,1,1
annotator_a,gpt-5.5,record_0061,WinoGrande,pair_0056,matched_control,cell_0020,gemma,mistral,0,0,0,1,1,1,0,0,0,1,1,1,0
annotator_a,gpt-5.5,record_0062,MMLU-Pro,pair_0057,matched_control,cell_0042,gemma,mistral,0,1,1,1,0,1,0,0,1,1,3,3,1
annotator_a,gpt-5.5,record_0063,MMLU-Pro,pair_0058,stable_high_dif,cell_0043,phi,mistral,1,1,1,1,0,0,0,0,0,1,3,1,0
annotator_a,gpt-5.5,record_0064,MMLU-Pro,pair_0042,stable_high_dif,cell_0032,mistral,gemma,1,1,0,0,0,0,0,0,0,0,3,2,0
annotator_a,gpt-5.5,record_0065,MMLU,pair_0059,matched_control,cell_0044,gemma,qwen,1,0,0,0,0,0,0,0,0,0,1,0,0
annotator_a,gpt-5.5,record_0066,MMLU,pair_0060,matched_control,cell_0040,qwen,llama,0,0,1,0,0,0,0,0,0,1,0,0,0
annotator_a,gpt-5.5,record_0067,MMLU,pair_0061,matched_control,cell_0045,phi,llama,1,1,1,0,0,0,0,0,0,1,2,1,0
annotator_a,gpt-5.5,record_0068,BBH,pair_0062,matched_control,cell_0024,phi,phi,0,0,0,1,1,0,0,0,0,1,1,1,1
annotator_a,gpt-5.5,record_0069,MMLU-Pro,pair_0063,stable_high_dif,cell_0046,phi,gemma,0,0,1,0,0,1,0,0,0,1,0,0,0
annotator_a,gpt-5.5,record_0070,HellaSwag,pair_0064,matched_control,cell_0007,llama,llama,0,0,0,1,1,0,0,0,1,1,1,1,0
annotator_a,gpt-5.5,record_0071,BBH,pair_0062,stable_high_dif,cell_0024,phi,phi,0,0,0,1,1,0,0,0,0,1,1,1,1
annotator_a,gpt-5.5,record_0072,MMLU-Pro,pair_0065,matched_control,cell_0047,qwen,mistral,0,0,1,0,0,0,0,0,0,0,0,0,0
annotator_a,gpt-5.5,record_0073,MMLU,pair_0066,stable_high_dif,cell_0023,mistral,mistral,0,1,1,1,0,1,0,0,0,1,3,3,1
annotator_a,gpt-5.5,record_0074,HellaSwag,pair_0067,stable_high_dif,cell_0019,qwen,llama,0,0,0,1,1,0,0,0,1,1,1,1,1
annotator_a,gpt-5.5,record_0075,BBH,pair_0068,matched_control,cell_0048,mistral,gemma,0,1,0,1,0,1,1,0,1,1,3,2,0
annotator_a,gpt-5.5,record_0076,BBH,pair_0069,matched_control,cell_0049,qwen,mistral,1,1,0,0,0,1,0,0,1,0,3,1,0
annotator_a,gpt-5.5,record_0077,BBH,pair_0070,matched_control,cell_0050,phi,phi,1,1,0,1,0,0,0,0,1,0,2,2,0
annotator_a,gpt-5.5,record_0078,MMLU,pair_0071,stable_high_dif,cell_0051,gemma,gemma,0,0,1,0,0,0,0,0,1,1,1,1,1
annotator_a,gpt-5.5,record_0079,MMLU-Pro,pair_0072,matched_control,cell_0052,mistral,mistral,0,0,1,0,0,0,0,0,0,1,0,0,1
annotator_a,gpt-5.5,record_0080,BBH,pair_0073,stable_high_dif,cell_0053,qwen,qwen,0,1,0,0,0,0,0,1,1,0,1,0,0
annotator_a,gpt-5.5,record_0081,MMLU,pair_0074,stable_high_dif,cell_0054,mistral,mistral,0,0,1,0,0,1,0,0,0,1,0,0,0
annotator_a,gpt-5.5,record_0082,MMLU-Pro,pair_0075,matched_control,cell_0055,phi,phi,1,1,1,1,0,1,0,0,1,1,3,2,1
annotator_a,gpt-5.5,record_0083,WinoGrande,pair_0076,matched_control,cell_0020,phi,phi,0,0,0,1,1,1,0,0,0,1,1,1,0
annotator_a,gpt-5.5,record_0084,MMLU-Pro,pair_0077,stable_high_dif,cell_0056,mistral,mistral,1,1,1,1,0,1,0,0,0,0,3,2,1
annotator_a,gpt-5.5,record_0085,MMLU,pair_0078,stable_high_dif,cell_0057,mistral,mistral,1,0,1,0,0,0,0,0,1,1,0,1,1
annotator_a,gpt-5.5,record_0086,MMLU-Pro,pair_0063,matched_control,cell_0046,mistral,phi,0,0,1,0,0,1,0,0,0,1,0,1,0
annotator_a,gpt-5.5,record_0087,MMLU,pair_0079,matched_control,cell_0058,mistral,qwen,0,0,1,0,0,0,0,0,0,0,1,0,0
annotator_a,gpt-5.5,record_0088,MMLU,pair_0080,stable_high_dif,cell_0059,mistral,mistral,0,0,1,0,0,0,0,0,0,0,0,0,0
annotator_a,gpt-5.5,record_0089,BBH,pair_0081,matched_control,cell_0008,phi,qwen,0,1,0,1,0,0,0,1,0,0,3,2,0
annotator_a,gpt-5.5,record_0090,MMLU,pair_0082,matched_control,cell_0060,phi,llama,0,0,1,0,0,0,0,0,1,1,1,1,0
annotator_a,gpt-5.5,record_0091,WinoGrande,pair_0083,matched_control,cell_0027,phi,mistral,0,0,0,1,1,0,0,0,0,1,1,1,0
annotator_a,gpt-5.5,record_0092,MMLU,pair_0084,stable_high_dif,cell_0061,mistral,mistral,1,1,0,0,0,1,0,0,0,0,2,1,1
annotator_a,gpt-5.5,record_0093,MMLU-Pro,pair_0085,stable_high_dif,cell_0062,phi,phi,1,1,1,1,0,0,0,0,1,1,3,3,0
annotator_a,gpt-5.5,record_0094,HellaSwag,pair_0086,stable_high_dif,cell_0004,mistral,mistral,0,0,0,1,1,0,0,0,1,1,1,2,0
annotator_a,gpt-5.5,record_0095,MMLU,pair_0080,matched_control,cell_0059,qwen,qwen,0,0,1,0,0,0,0,0,0,0,0,0,0
annotator_a,gpt-5.5,record_0096,MMLU-Pro,pair_0087,stable_high_dif,cell_0063,phi,llama,0,0,1,0,0,0,0,0,0,1,0,0,0
annotator_a,gpt-5.5,record_0097,HellaSwag,pair_0088,stable_high_dif,cell_0025,mistral,phi,0,0,0,1,1,1,0,0,0,1,1,1,1
annotator_a,gpt-5.5,record_0098,BBH,pair_0089,stable_high_dif,cell_0064,qwen,phi,0,0,0,1,1,1,0,1,0,1,2,3,1
annotator_a,gpt-5.5,record_0099,HellaSwag,pair_0090,stable_high_dif,cell_0025,mistral,llama,0,0,0,1,1,0,0,0,0,1,1,2,1
annotator_a,gpt-5.5,record_0100,MMLU,pair_0091,stable_high_dif,cell_0065,qwen,qwen,0,0,1,0,0,1,0,0,0,1,1,0,0
annotator_a,gpt-5.5,record_0101,BBH,pair_0015,matched_control,cell_0014,phi,phi,0,1,0,1,0,1,0,0,1,1,3,2,0
annotator_a,gpt-5.5,record_0102,WinoGrande,pair_0092,matched_control,cell_0006,mistral,llama,0,0,0,1,1,1,0,1,0,1,1,1,0
annotator_a,gpt-5.5,record_0103,HellaSwag,pair_0093,stable_high_dif,cell_0025,phi,mistral,0,0,0,1,1,0,0,0,1,1,1,1,0
annotator_a,gpt-5.5,record_0104,BBH,pair_0094,matched_control,cell_0038,mistral,mistral,0,1,0,1,0,0,0,1,1,0,3,2,0
annotator_a,gpt-5.5,record_0105,MMLU-Pro,pair_0095,matched_control,cell_0066,gemma,gemma,1,0,1,0,0,0,0,0,0,1,1,1,1
annotator_a,gpt-5.5,record_0106,BBH,pair_0096,stable_high_dif,cell_0067,mistral,mistral,0,1,0,1,0,0,0,1,0,1,3,2,0
annotator_a,gpt-5.5,record_0107,MMLU,pair_0097,stable_high_dif,cell_0068,mistral,mistral,0,0,1,0,0,0,0,0,0,1,0,0,0
annotator_a,gpt-5.5,record_0108,MMLU,pair_0098,stable_high_dif,cell_0069,mistral,mistral,0,0,1,0,0,0,0,0,0,1,0,0,0
annotator_a,gpt-5.5,record_0109,BBH,pair_0043,matched_control,cell_0033,llama,phi,0,1,0,1,0,1,0,0,1,1,2,1,0
annotator_a,gpt-5.5,record_0110,MMLU,pair_0014,stable_high_dif,cell_0013,mistral,mistral,0,0,1,0,0,0,0,0,0,1,0,0,0
annotator_a,gpt-5.5,record_0111,WinoGrande,pair_0099,stable_high_dif,cell_0027,qwen,phi,0,0,0,1,1,0,0,0,0,1,1,1,1
annotator_a,gpt-5.5,record_0112,MMLU,pair_0100,stable_high_dif,cell_0070,phi,mistral,0,0,1,0,0,0,0,0,0,1,0,0,1
annotator_a,gpt-5.5,record_0113,MMLU,pair_0101,stable_high_dif,cell_0071,phi,mistral,0,0,1,0,0,0,0,0,0,1,0,0,0
annotator_a,gpt-5.5,record_0114,BBH,pair_0081,stable_high_dif,cell_0008,gemma,llama,0,1,0,1,0,1,0,0,0,0,3,2,0
annotator_a,gpt-5.5,record_0115,BBH,pair_0102,matched_control,cell_0064,llama,llama,0,1,0,1,1,1,0,0,0,1,3,3,1
annotator_a,gpt-5.5,record_0116,HellaSwag,pair_0103,matched_control,cell_0019,llama,qwen,0,0,0,1,1,1,0,0,0,1,1,2,1
annotator_a,gpt-5.5,record_0117,HellaSwag,pair_0025,stable_high_dif,cell_0007,llama,mistral,0,0,0,1,1,0,0,0,0,1,1,1,2
annotator_a,gpt-5.5,record_0118,MMLU-Pro,pair_0104,matched_control,cell_0039,phi,qwen,1,1,1,1,1,1,0,0,0,1,3,3,1
annotator_a,gpt-5.5,record_0119,HellaSwag,pair_0005,stable_high_dif,cell_0004,phi,mistral,0,0,0,1,1,0,0,0,0,1,1,2,1
annotator_a,gpt-5.5,record_0120,MMLU-Pro,pair_0105,stable_high_dif,cell_0072,phi,phi,0,0,1,0,0,0,0,0,0,1,1,1,0
annotator_a,gpt-5.5,record_0121,HellaSwag,pair_0106,matched_control,cell_0025,phi,phi,0,1,1,1,1,1,0,1,1,1,2,2,1
annotator_a,gpt-5.5,record_0122,MMLU-Pro,pair_0107,stable_high_dif,cell_0073,qwen,gemma,1,1,1,1,0,1,0,0,1,1,2,2,0
annotator_a,gpt-5.5,record_0123,MMLU-Pro,pair_0108,stable_high_dif,cell_0074,mistral,mistral,0,0,1,0,0,0,0,0,1,1,1,2,1
annotator_a,gpt-5.5,record_0124,BBH,pair_0109,matched_control,cell_0016,mistral,mistral,0,0,1,1,1,0,0,1,0,0,1,1,1
annotator_a,gpt-5.5,record_0125,HellaSwag,pair_0110,stable_high_dif,cell_0025,qwen,qwen,0,0,0,1,1,0,0,1,0,1,1,1,0
annotator_a,gpt-5.5,record_0126,BBH,pair_0069,stable_high_dif,cell_0049,phi,phi,1,1,0,1,0,1,0,0,0,0,2,1,0
annotator_a,gpt-5.5,record_0127,WinoGrande,pair_0111,stable_high_dif,cell_0035,mistral,mistral,0,0,0,1,1,0,0,0,0,1,1,1,0
annotator_a,gpt-5.5,record_0128,MMLU-Pro,pair_0112,stable_high_dif,cell_0075,phi,gemma,0,0,1,0,0,0,0,1,0,1,1,1,0
annotator_a,gpt-5.5,record_0129,MMLU,pair_0113,matched_control,cell_0023,phi,phi,0,1,1,1,0,0,0,1,1,1,3,3,1
annotator_a,gpt-5.5,record_0130,BBH,pair_0114,matched_control,cell_0076,qwen,phi,1,1,0,1,0,1,0,0,0,0,3,2,0
annotator_a,gpt-5.5,record_0131,MMLU-Pro,pair_0077,matched_control,cell_0056,qwen,mistral,1,1,0,1,0,0,0,0,0,1,3,1,0
annotator_a,gpt-5.5,record_0132,HellaSwag,pair_0115,matched_control,cell_0007,llama,qwen,0,0,0,1,1,0,0,0,0,1,1,1,1
annotator_a,gpt-5.5,record_0133,WinoGrande,pair_0116,stable_high_dif,cell_0027,qwen,qwen,0,0,0,1,1,1,0,1,0,1,1,1,0
annotator_a,gpt-5.5,record_0134,HellaSwag,pair_0117,stable_high_dif,cell_0004,mistral,mistral,0,0,0,1,1,1,0,0,1,1,1,1,1
annotator_a,gpt-5.5,record_0135,MMLU-Pro,pair_0118,stable_high_dif,cell_0072,phi,phi,0,0,1,0,0,0,0,0,1,1,1,1,0
annotator_a,gpt-5.5,record_0136,MMLU,pair_0059,stable_high_dif,cell_0044,phi,phi,1,1,0,0,0,0,0,0,0,1,1,0,0
annotator_a,gpt-5.5,record_0137,WinoGrande,pair_0119,stable_high_dif,cell_0006,phi,phi,0,0,0,1,1,0,0,0,0,0,1,1,0
annotator_a,gpt-5.5,record_0138,BBH,pair_0089,matched_control,cell_0064,gemma,gemma,0,0,1,1,1,0,0,1,0,1,2,2,1
annotator_a,gpt-5.5,record_0139,WinoGrande,pair_0120,stable_high_dif,cell_0027,mistral,phi,0,0,0,1,1,1,0,0,0,1,1,1,0
annotator_a,gpt-5.5,record_0140,MMLU,pair_0071,matched_control,cell_0051,gemma,qwen,0,1,1,0,0,1,0,0,0,1,2,1,0
annotator_a,gpt-5.5,record_0141,MMLU-Pro,pair_0121,matched_control,cell_0077,qwen,phi,1,0,1,0,0,0,0,0,0,1,2,0,1
annotator_a,gpt-5.5,record_0142,MMLU-Pro,pair_0122,matched_control,cell_0078,qwen,qwen,1,1,1,1,0,1,0,0,0,1,3,1,0
annotator_a,gpt-5.5,record_0143,MMLU-Pro,pair_0123,stable_high_dif,cell_0079,phi,phi,0,0,1,0,0,0,0,0,0,1,0,0,0
annotator_a,gpt-5.5,record_0144,MMLU,pair_0101,matched_control,cell_0071,gemma,gemma,0,0,1,0,0,0,0,0,0,0,0,0,0
annotator_a,gpt-5.5,record_0145,WinoGrande,pair_0124,matched_control,cell_0035,gemma,qwen,0,0,0,1,1,1,0,0,0,1,1,1,0
annotator_a,gpt-5.5,record_0146,MMLU,pair_0125,stable_high_dif,cell_0080,gemma,gemma,1,1,1,1,0,1,0,1,0,1,3,3,1
annotator_a,gpt-5.5,record_0147,WinoGrande,pair_0126,matched_control,cell_0035,gemma,llama,0,1,0,1,1,0,0,1,0,1,1,1,1
annotator_a,gpt-5.5,record_0148,BBH,pair_0127,matched_control,cell_0081,phi,phi,0,1,0,1,0,1,0,0,1,1,3,2,0
annotator_a,gpt-5.5,record_0149,MMLU-Pro,pair_0051,stable_high_dif,cell_0039,phi,phi,1,1,1,1,0,1,0,0,1,1,3,3,1
annotator_a,gpt-5.5,record_0150,WinoGrande,pair_0022,matched_control,cell_0006,qwen,mistral,0,0,0,1,1,0,0,0,0,1,1,1,0
annotator_a,gpt-5.5,record_0151,MMLU,pair_0079,stable_high_dif,cell_0058,phi,mistral,0,0,1,0,0,0,0,0,1,0,0,0,0
annotator_a,gpt-5.5,record_0152,MMLU,pair_0128,matched_control,cell_0060,gemma,qwen,0,0,1,0,0,1,0,0,0,0,1,0,0
annotator_a,gpt-5.5,record_0153,BBH,pair_0010,matched_control,cell_0009,gemma,mistral,0,1,0,1,0,1,0,0,1,1,3,2,0
annotator_a,gpt-5.5,record_0154,WinoGrande,pair_0129,matched_control,cell_0035,llama,phi,0,0,0,1,1,0,0,0,0,1,1,1,1
annotator_a,gpt-5.5,record_0155,MMLU-Pro,pair_0130,matched_control,cell_0082,llama,mistral,1,1,0,1,0,1,0,0,0,1,2,1,2
annotator_a,gpt-5.5,record_0156,BBH,pair_0131,matched_control,cell_0083,mistral,qwen,0,1,0,1,0,0,0,1,0,0,3,2,0
annotator_a,gpt-5.5,record_0157,MMLU,pair_0100,matched_control,cell_0070,mistral,mistral,0,0,1,0,0,1,0,0,1,1,1,1,0
annotator_a,gpt-5.5,record_0158,HellaSwag,pair_0132,stable_high_dif,cell_0007,llama,gemma,0,1,1,1,0,1,0,0,1,1,2,2,0
annotator_a,gpt-5.5,record_0159,WinoGrande,pair_0133,matched_control,cell_0006,mistral,phi,0,0,0,1,1,1,0,0,0,0,1,1,0
annotator_a,gpt-5.5,record_0160,MMLU,pair_0134,stable_high_dif,cell_0084,mistral,mistral,0,0,1,0,0,0,0,0,0,1,0,0,0
annotator_a,gpt-5.5,record_0161,WinoGrande,pair_0135,stable_high_dif,cell_0006,qwen,mistral,0,0,0,1,1,0,0,0,0,1,1,1,0
annotator_a,gpt-5.5,record_0162,MMLU-Pro,pair_0118,matched_control,cell_0072,qwen,phi,0,0,1,0,0,0,0,0,0,1,0,0,0
annotator_a,gpt-5.5,record_0163,BBH,pair_0136,stable_high_dif,cell_0008,qwen,phi,0,1,0,1,0,0,0,0,0,0,3,2,0
annotator_a,gpt-5.5,record_0164,BBH,pair_0050,stable_high_dif,cell_0038,qwen,qwen,0,1,0,1,0,0,0,0,0,0,3,2,0
annotator_a,gpt-5.5,record_0165,WinoGrande,pair_0119,matched_control,cell_0006,gemma,qwen,0,0,0,1,1,0,0,0,0,1,1,1,1
annotator_a,gpt-5.5,record_0166,BBH,pair_0127,stable_high_dif,cell_0081,phi,phi,0,1,0,1,0,1,0,0,1,1,3,2,0
annotator_a,gpt-5.5,record_0167,BBH,pair_0137,matched_control,cell_0015,phi,phi,0,0,0,0,0,0,1,0,0,1,1,0,1
annotator_a,gpt-5.5,record_0168,MMLU,pair_0138,stable_high_dif,cell_0085,phi,mistral,0,0,1,0,0,0,0,0,0,1,0,0,0
annotator_a,gpt-5.5,record_0169,BBH,pair_0137,stable_high_dif,cell_0015,phi,phi,0,0,0,0,0,0,1,0,1,1,1,1,1
annotator_a,gpt-5.5,record_0170,MMLU,pair_0139,stable_high_dif,cell_0086,mistral,mistral,0,0,1,0,0,0,0,0,0,1,0,0,0
annotator_a,gpt-5.5,record_0171,MMLU-Pro,pair_0095,stable_high_dif,cell_0066,phi,mistral,0,0,1,0,0,1,0,0,1,1,2,2,0
annotator_a,gpt-5.5,record_0172,HellaSwag,pair_0140,stable_high_dif,cell_0025,qwen,qwen,0,0,0,1,1,0,0,0,1,1,1,1,0
annotator_a,gpt-5.5,record_0173,MMLU-Pro,pair_0123,matched_control,cell_0079,phi,gemma,1,0,1,0,0,0,0,0,0,1,2,1,0
annotator_a,gpt-5.5,record_0174,HellaSwag,pair_0093,matched_control,cell_0025,llama,phi,0,0,1,1,1,1,0,0,0,1,1,1,1
annotator_a,gpt-5.5,record_0175,BBH,pair_0141,matched_control,cell_0087,gemma,mistral,0,1,0,1,0,1,0,0,1,1,2,2,0
annotator_a,gpt-5.5,record_0176,MMLU,pair_0142,stable_high_dif,cell_0088,gemma,gemma,1,0,1,0,0,1,0,0,0,1,0,0,0
